nama_produk,kategori,harga,stok,satuan,supplier,berat_gram,deskripsi
Beras Premium 5kg,Sembako,75000,150,pcs,PT Beras Nusantara,5000,Beras premium kualitas terbaik
Minyak Goreng 2L,Sembako,35000,200,botol,CV Minyak Jaya,2000,Minyak goreng sawit murni
Gula Pasir 1kg,Sembako,15000,300,pcs,PT Gula Manis,1000,Gula pasir putih kristal
Tepung Terigu 1kg,Sembako,12000,250,pcs,PT Bogasari,1000,Tepung terigu serbaguna
Telur Ayam 1kg,Sembako,28000,100,kg,Peternakan Sejahtera,1000,Telur ayam segar
Susu UHT 1L,Minuman,18000,180,kotak,PT Ultra Jaya,1000,Susu UHT rasa original
Kopi Bubuk 250g,Minuman,25000,120,pcs,PT Kopi Nusantara,250,Kopi bubuk asli Toraja
Teh Celup 25pcs,Minuman,8500,200,box,PT Teh Sosro,50,Teh celup wangi melati
Air Mineral 600ml,Minuman,3500,500,botol,PT Aqua Golden,600,Air mineral segar
Sirup ABC 650ml,Minuman,15000,90,botol,PT ABC President,650,Sirup rasa cocopandan
Mie Instan Goreng,Makanan Instan,3000,400,pcs,PT Indofood,85,Mie goreng instant
Mie Instan Kuah,Makanan Instan,2800,350,pcs,PT Indofood,85,Mie kuah instant
Sarden Kaleng,Makanan Instan,15000,100,kaleng,PT ABC President,155,Sarden dalam saus tomat
Kornet Sapi,Makanan Instan,28000,80,kaleng,PT Cip,340,Kornet daging sapi
Bubur Instan,Makanan Instan,5000,150,pcs,PT Mayora,50,Bubur ayam instan
Sabun Mandi Batang,Perawatan Tubuh,4500,300,pcs,PT Unilever,90,Sabun mandi antibakteri
Sabun Mandi Cair 500ml,Perawatan Tubuh,25000,120,botol,PT Unilever,500,Sabun cair wangi segar
Shampoo 170ml,Perawatan Tubuh,22000,150,botol,PT Unilever,170,Shampoo anti ketombe
Pasta Gigi 150g,Perawatan Tubuh,12000,200,tube,PT Unilever,150,Pasta gigi whitening
Deodorant Roll On,Perawatan Tubuh,18000,100,pcs,PT Unilever,50,Deodorant 48 jam
Deterjen Bubuk 1kg,Kebersihan,25000,180,pcs,PT Wings,1000,Deterjen bubuk wangi
Deterjen Cair 1L,Kebersihan,35000,100,botol,PT Wings,1000,Deterjen cair konsentrat
Pelembut Pakaian 900ml,Kebersihan,28000,90,botol,PT Unilever,900,Pelembut wangi bunga
Pembersih Lantai 800ml,Kebersihan,18000,120,botol,PT Wings,800,Pembersih lantai aroma pinus
Sabun Cuci Piring 750ml,Kebersihan,15000,200,botol,PT Wings,750,Sabun cuci piring jeruk nipis
Snack Kentang 68g,Makanan Ringan,10000,250,pcs,PT Indofood,68,Keripik kentang gurih
Biskuit Kaleng 500g,Makanan Ringan,45000,80,kaleng,PT Mayora,500,Biskuit aneka rasa
Wafer Coklat 145g,Makanan Ringan,12000,180,pcs,PT Mayora,145,Wafer rasa coklat
Coklat Batang 100g,Makanan Ringan,18000,150,pcs,PT Delfi,100,Coklat susu batangan
Kacang Atom 200g,Makanan Ringan,15000,120,pcs,PT Dua Kelinci,200,Kacang atom pedas
Saus Sambal 340ml,Bumbu Dapur,14000,200,botol,PT ABC President,340,Saus sambal pedas
Saus Tomat 340ml,Bumbu Dapur,12000,180,botol,PT ABC President,340,Saus tomat manis
Kecap Manis 600ml,Bumbu Dapur,22000,150,botol,PT Bango,600,Kecap manis legit
Garam 250g,Bumbu Dapur,5000,300,pcs,PT Unichem,250,Garam halus beryodium
Merica Bubuk 50g,Bumbu Dapur,15000,100,pcs,PT Koepoe Koepoe,50,Merica bubuk halus
Margarin 250g,Bumbu Dapur,18000,120,pcs,PT Simas,250,Margarin untuk masak
Mentega 200g,Bumbu Dapur,28000,80,pcs,PT Anchor,200,Mentega unsalted
